START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE
"Friday, January 1, 2016","Friday, January 1, 2016",Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain
"Saturday, January 2, 2016","Saturday, January 2, 2016",Business,Fort Pierce,Fort Pierce,5,
"Saturday, January 2, 2016","Saturday, January 2, 2016",Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies
"Tuesday, January 5, 2016","Tuesday, January 5, 2016",Business,Fort Pierce,Fort Pierce,4.7,Meeting
"Wednesday, January 6, 2016","Wednesday, January 6, 2016",Business,Fort Pierce,West Palm Beach,63.7,Customer Visit
"Wednesday, January 6, 2016","Wednesday, January 6, 2016",Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain
"Wednesday, January 6, 2016","Wednesday, January 6, 2016",Business,West Palm Beach,Palm Beach,7.1,Meeting
"Thursday, January 7, 2016","Thursday, January 7, 2016",Business,Cary,Cary,0.8,Meeting
"Sunday, January 10, 2016","Sunday, January 10, 2016",Business,Cary,Morrisville,8.3,Meeting
"Sunday, January 10, 2016","Sunday, January 10, 2016",Business,Jamaica,New York,16.5,Customer Visit
"Sunday, January 10, 2016","Sunday, January 10, 2016",Business,New York,Queens,10.8,Meeting
"Sunday, January 10, 2016","Sunday, January 10, 2016",Business,Elmhurst,New York,7.5,Meeting
"Sunday, January 10, 2016","Sunday, January 10, 2016",Business,Midtown,East Harlem,6.2,Meeting
"Monday, January 11, 2016","Monday, January 11, 2016",Business,East Harlem,NoMad,6.4,Temporary Site
"Monday, January 11, 2016","Monday, January 11, 2016",Business,Flatiron District,Midtown,1.6,Errand/Supplies
"Monday, January 11, 2016","Monday, January 11, 2016",Business,Midtown,Midtown East,1.7,Meal/Entertain
"Monday, January 11, 2016","Monday, January 11, 2016",Business,Midtown East,Midtown,1.9,Meal/Entertain
"Tuesday, January 12, 2016","Tuesday, January 12, 2016",Business,Midtown,Hudson Square,1.9,Meal/Entertain
"Tuesday, January 12, 2016","Tuesday, January 12, 2016",Business,Hudson Square,Lower Manhattan,4,Meal/Entertain
"Tuesday, January 12, 2016","Tuesday, January 12, 2016",Business,Lower Manhattan,Hudson Square,1.8,Errand/Supplies
"Tuesday, January 12, 2016","Tuesday, January 12, 2016",Business,Hudson Square,Hell's Kitchen,2.4,Customer Visit
"Tuesday, January 12, 2016","Tuesday, January 12, 2016",Business,Hell's Kitchen,Midtown,2,Errand/Supplies
"Tuesday, January 12, 2016","Tuesday, January 12, 2016",Business,New York,Queens County,15.1,Meeting
"Wednesday, January 13, 2016","Wednesday, January 13, 2016",Business,Downtown,Gulfton,11.2,Meeting
"Wednesday, January 13, 2016","Wednesday, January 13, 2016",Business,Gulfton,Downtown,11.8,Meeting
"Thursday, January 14, 2016","Thursday, January 14, 2016",Business,Houston,Houston,21.9,Customer Visit
"Thursday, January 14, 2016","Thursday, January 14, 2016",Business,Eagan Park,Jamestown Court,3.9,Errand/Supplies
"Friday, January 15, 2016","Friday, January 15, 2016",Business,Morrisville,Cary,8,Errand/Supplies
"Friday, January 15, 2016","Friday, January 15, 2016",Business,Cary,Durham,10.4,Meal/Entertain
